RowLabel,ColLabel,Value,x,y
animals,animals,0.5864468812942505,0,0
animals,body,0.13038399815559387,1,0
animals,conflict,0.10483525693416595,2,0
animals,evaluative.negative,0.07093015313148499,3,0
animals,evaluative.positive,0.06946238875389099,4,0
animals,movement,0.03877555578947067,5,0
animals,plants_and_food,0.19854822754859924,6,0
animals,spatial,0.05015060305595398,7,0
body,animals,0.13038399815559387,0,1
body,body,0.3390013575553894,1,1
body,conflict,0.09387935698032379,2,1
body,evaluative.negative,0.0971020758152008,3,1
body,evaluative.positive,0.07910642772912979,4,1
body,movement,0.10818450152873993,5,1
body,plants_and_food,0.07485099881887436,6,1
body,spatial,0.1648421287536621,7,1
conflict,animals,0.10483525693416595,0,2
conflict,body,0.09387935698032379,1,2
conflict,conflict,0.3030080497264862,2,2
conflict,evaluative.negative,0.12758298218250275,3,2
conflict,evaluative.positive,0.09669089317321777,4,2
conflict,movement,0.17736811935901642,5,2
conflict,plants_and_food,0.08047132194042206,6,2
conflict,spatial,0.0982055738568306,7,2
evaluative.negative,animals,0.07093015313148499,0,3
evaluative.negative,body,0.0971020758152008,1,3
evaluative.negative,conflict,0.12758298218250275,2,3
evaluative.negative,evaluative.negative,0.4036071300506592,3,3
evaluative.negative,evaluative.positive,0.2926443815231323,4,3
evaluative.negative,movement,0.10047104954719543,5,3
evaluative.negative,plants_and_food,0.06241005286574364,6,3
evaluative.negative,spatial,0.09920841455459595,7,3
evaluative.positive,animals,0.06946238875389099,0,4
evaluative.positive,body,0.07910642772912979,1,4
evaluative.positive,conflict,0.09669089317321777,2,4
evaluative.positive,evaluative.negative,0.2926443815231323,3,4
evaluative.positive,evaluative.positive,0.5162369608879089,4,4
evaluative.positive,movement,0.1396392285823822,5,4
evaluative.positive,plants_and_food,0.05730374529957771,6,4
evaluative.positive,spatial,0.11853925883769989,7,4
movement,animals,0.03877555578947067,0,5
movement,body,0.10818450152873993,1,5
movement,conflict,0.17736811935901642,2,5
movement,evaluative.negative,0.10047104954719543,3,5
movement,evaluative.positive,0.1396392285823822,4,5
movement,movement,0.5342669486999512,5,5
movement,plants_and_food,0.06976397335529327,6,5
movement,spatial,0.15621662139892578,7,5
plants_and_food,animals,0.19854822754859924,0,6
plants_and_food,body,0.07485099881887436,1,6
plants_and_food,conflict,0.08047132194042206,2,6
plants_and_food,evaluative.negative,0.06241005286574364,3,6
plants_and_food,evaluative.positive,0.05730374529957771,4,6
plants_and_food,movement,0.06976397335529327,5,6
plants_and_food,plants_and_food,0.3914222717285156,6,6
plants_and_food,spatial,0.06192692369222641,7,6
spatial,animals,0.05015060305595398,0,7
spatial,body,0.1648421287536621,1,7
spatial,conflict,0.0982055738568306,2,7
spatial,evaluative.negative,0.09920841455459595,3,7
spatial,evaluative.positive,0.11853925883769989,4,7
spatial,movement,0.15621662139892578,5,7
spatial,plants_and_food,0.06192692369222641,6,7
spatial,spatial,0.3791448473930359,7,7
