RowLabel,ColLabel,Value,x,y
animals,animals,0.7462030649185181,0,0
animals,body,0.4599016606807709,1,0
animals,conflict,0.46596479415893555,2,0
animals,evaluative.negative,0.40797486901283264,3,0
animals,evaluative.positive,0.4736688733100891,4,0
animals,movement,0.35044732689857483,5,0
animals,plants_and_food,0.5291991829872131,6,0
animals,spatial,0.43456923961639404,7,0
body,animals,0.4599016606807709,0,1
body,body,0.6868370771408081,1,1
body,conflict,0.520603358745575,2,1
body,evaluative.negative,0.5157299041748047,3,1
body,evaluative.positive,0.5271176099777222,4,1
body,movement,0.5557501912117004,5,1
body,plants_and_food,0.4327428638935089,6,1
body,spatial,0.6884117722511292,7,1
conflict,animals,0.46596479415893555,0,2
conflict,body,0.520603358745575,1,2
conflict,conflict,0.6945253610610962,2,2
conflict,evaluative.negative,0.5991151332855225,3,2
conflict,evaluative.positive,0.5398149490356445,4,2
conflict,movement,0.5883851051330566,5,2
conflict,plants_and_food,0.3846655786037445,6,2
conflict,spatial,0.5046783089637756,7,2
evaluative.negative,animals,0.40797486901283264,0,3
evaluative.negative,body,0.5157299041748047,1,3
evaluative.negative,conflict,0.5991151332855225,2,3
evaluative.negative,evaluative.negative,0.7786335945129395,3,3
evaluative.negative,evaluative.positive,0.6525635719299316,4,3
evaluative.negative,movement,0.5597008466720581,5,3
evaluative.negative,plants_and_food,0.44009295105934143,6,3
evaluative.negative,spatial,0.5197156667709351,7,3
evaluative.positive,animals,0.4736688733100891,0,4
evaluative.positive,body,0.5271176099777222,1,4
evaluative.positive,conflict,0.5398149490356445,2,4
evaluative.positive,evaluative.negative,0.6525635719299316,3,4
evaluative.positive,evaluative.positive,0.7368549704551697,4,4
evaluative.positive,movement,0.5677319765090942,5,4
evaluative.positive,plants_and_food,0.5033195614814758,6,4
evaluative.positive,spatial,0.5359300374984741,7,4
movement,animals,0.35044732689857483,0,5
movement,body,0.5557501912117004,1,5
movement,conflict,0.5883851051330566,2,5
movement,evaluative.negative,0.5597008466720581,3,5
movement,evaluative.positive,0.5677319765090942,4,5
movement,movement,0.764518141746521,5,5
movement,plants_and_food,0.4036484956741333,6,5
movement,spatial,0.6025010943412781,7,5
plants_and_food,animals,0.5291991829872131,0,6
plants_and_food,body,0.4327428638935089,1,6
plants_and_food,conflict,0.3846655786037445,2,6
plants_and_food,evaluative.negative,0.44009295105934143,3,6
plants_and_food,evaluative.positive,0.5033195614814758,4,6
plants_and_food,movement,0.4036484956741333,5,6
plants_and_food,plants_and_food,0.6935350298881531,6,6
plants_and_food,spatial,0.4059569835662842,7,6
spatial,animals,0.43456923961639404,0,7
spatial,body,0.6884117722511292,1,7
spatial,conflict,0.5046783089637756,2,7
spatial,evaluative.negative,0.5197156667709351,3,7
spatial,evaluative.positive,0.5359300374984741,4,7
spatial,movement,0.6025010943412781,5,7
spatial,plants_and_food,0.4059569835662842,6,7
spatial,spatial,0.8080240488052368,7,7
